"location","count","latitude","longitude"
5480705,8,-37.36667,143.41667
5412635,3,42.09338,-84.98581
5251392,1,47.4502,26.51326
5223882,5,36.55006,-85.50525
5245911,2,42.734,-3.41459
5279096,1,-34.43333,137.6
5215607,3,41.46121,-71.77757
5240511,1,-43.31584,147.24315
5239011,1,31.76072,-93.08627
5205545,1,38.25424,-85.75941
5304526,2,19.31556,-98.88284
5231705,2,33.93209,-81.23843
5251445,13,32.81874,-85.17939
5264449,4,40.7876,-73.84597
5234134,1,48.76,-98.36817
5519839,1,40.67895,-79.18754
5218387,1,43.07611,-88.77427
5267282,1,-33.81667,137.81667
5270931,1,52.62783,1.29834
5232417,9,34.41414,-110.56956
5214377,2,51.77461,-1.6146
5241223,8,47.07982,-122.0515
5197139,4,40.70621,-74.54932
5388541,2,47.25288,-122.44429
5212779,3,41.54902,-86.74237
5229432,6,44.62151,-123.93845
5220192,9,41.45005,-81.66346
5268261,1,-29.42743,147.97865
5234641,7,43.56813,-71.03007
5220709,1,35.46756,-97.51643
5193061,4,-33.74556,-61.96885
5193138,1,-33.35,-55.63333
5561746,1,30.39603,-88.88531
5293410,8,33.13515,-81.43122
5296725,1,47.92305,-99.20402
5207858,1,33.87566,-84.76216
5244217,1,61.87837,21.54102
5205301,5,50.94159,-2.63211
5216164,20,38.80195,-94.45273
5208477,1,38.35658,-121.98774
5291963,3,39.02175,-82.02903
5263729,1,32.78485,-85.30578
5217900,1,-23.68333,150.71667
5262362,13,38.62699,-88.94562
5199793,4,33.7207,-116.21677
5244241,1,59.92622,14.96499
5271125,1,56.01839,92.86717
5205200,27,41.55365,-87.45198
5266456,1,-51.62261,-69.21813
5194479,3,44.34777,-87.82732
5394414,2,16.29974,80.45729
5277345,3,36.14756,-85.2683
5234035,2,36.50228,-88.32587
5370489,1,51.0977,0.27191
5287729,2,38.15979,-85.58774
5255256,2,42.31954,-71.64118
5223231,2,52.5,-2.01667
5287126,2,34.99795,-78.32333
5188714,1,37.94449,-87.40529
5372126,1,54.25,-4.5
5208474,9,32.77347,-92.4057
5188386,9,42.31346,-122.96699
5188765,375,38.25424,-85.75941
5259738,20,45.07913,-93.14717
5244305,5,39.03056,-97.5942
5260005,1,48.41108,-114.33763
5204028,1,45.29381,-111.94609
5211381,4,38.67112,-96.94251
5394571,4,41.28891,-91.55238
5373318,9,32.76266,-87.62912
5221684,3,39.62009,-78.29251
5217771,11,45.12302,-92.53659
5204912,4,19,-70.66667
5262052,6,34.24654,-80.60702
5287058,1,51.79702,7.74203
5285602,1,19.15667,-97.03389
5225583,17,37.23876,-76.50967
5192722,2,35.06259,-86.41971
5266174,3,41.37119,-75.73491
5287225,3,40.24646,-80.21145
5373291,4,38.29735,-78.44001
5232871,2,46.54245,24.55747
5215952,1,48.82099,-119.63341
5382824,1,29.86828,-94.8327
5192878,19,41.50884,-87.07332
5201234,1,-21.97623,-44.85558
5388853,8,39.66206,-74.16514
5247471,4,45.43579,-89.18345
5383201,9,18.21162,-65.73488
5217401,18,37.52966,-122.04024
5224918,3,47.54607,14.88837
5211974,1,44.55135,-94.98444
5200633,15,40.73204,-73.18567
5197101,14,40.86259,-76.79441
5198065,19,37.94798,-122.0608
5191740,1,48.08973,-101.05377
5289500,1,39.99477,-84.408
5222685,15,43.38397,-70.54478
5471956,3,38.28058,-95.24192
5245110,1,41.192,-79.97561
5236723,2,39.92063,32.85403
5243904,1,39.96118,-82.99879
5269558,4,38.74666,-105.17831
5224798,4,39.32702,-81.54846
5270451,1,43.66528,1.3775
5287840,5,39.36378,-121.69358
5235450,2,10.5945,-66.95624
5224445,1,-31.56375,147.19373
5201189,270,43.70011,-79.4163
5604951,1,39.85674,-81.06677
5188511,182,46.55735,-120.47506
5273054,1,51.05011,-114.08529
5205741,17,34.89093,-90.79206
5252942,1,48.13743,11.57549
5237704,1,-32.94008,-63.2466
5249485,1,36.79056,118.06333
5402247,1,39.68372,-75.74966
5221628,2,40.56538,-74.26042
5191413,1,39.50222,-96.32084
5226067,1,42.42287,-72.10508
5508182,1,35.60812,-96.82113
