"location","count","latitude","longitude"
5291976,4,43.48035,-72.38481
5486467,6,39.95233,-75.16379
5574304,1,-37.81901,145.15326
5233021,1,39.1911,-106.81754
5212419,1,37.66243,-121.87468
5232993,4,42.63759,-70.9495
5235897,2,38.44261,-75.19352
5261188,9,35.8265,-82.5493
5188867,50,37.566,126.9784
5386612,2,37.68422,-88.63283
5298460,8,43.5947,-96.57199
5389397,1,35.07786,-87.43974
5242393,7,39.09089,-84.84995
5233604,1,43.36408,1.20559
5525202,1,46.56215,-112.43086
5412514,4,39.73095,-75.7041
5470413,2,51.73575,0.46958
5204241,1,53.32498,-3.83148
5227400,2,20.7175,-99.36083
5192025,35,39.78504,-85.76942
5232840,17,40.17428,-75.10684
6103093,2,47.25288,-122.44429
5262953,2,26.89892,-99.78588
5207314,12,34.68631,135.51968
5269459,3,41.82395,-79.68366
5283082,5,29.726,-84.9856
5492354,1,10.91368,75.92118
5586371,1,19.06933,-96.97209
5252134,5,34.93867,-104.68249
5208201,1,34.83333,9.5
5371273,5,34.94817,-82.12733
5216825,2,39.64472,-94.73996
5253192,5,43.05165,-91.14124
5234624,4,42.74814,-71.85424
5230067,8,37.59727,-90.62734
5495117,1,52.52143,7.31845
5218286,1,50.86403,4.32303
5225157,8,39.15316,-77.06692
5559557,2,40.70704,-74.956
5269332,13,39.97776,-105.13193
5204638,4,43.74774,-95.94724
5243945,8,42.9787,-71.07284
5207877,17,40.58867,-83.12852
5193821,1,34.91637,-117.93535
5242464,5,40.77593,-74.60071
5192773,3,43.88222,0.38108
5198505,15,-12,-76.83333
5191373,9,37.76005,-89.0773
5529311,1,43.49639,-88.02343
5204477,1,38.99758,-81.97403
5505995,1,40.85177,-74.22903
5279485,14,34.86397,-84.32409
5473519,2,56.72993,-2.65729
5517599,1,-34.60251,138.74902
5229260,4,42.43343,-71.60784
5222025,12,38.43453,-82.13236
5191896,2,50.92747,-1.79029
5507380,1,-33.82344,151.19836
5300217,6,39.9815,-75.35658
5202834,3,33.82928,-90.29314
6104070,1,41.18559,-88.30978
5188887,3,34.01202,-100.82208
5292341,5,34.41333,-119.86097
5522300,2,33.98452,-101.33766
5272820,5,55.23333,-3.76667
5193680,160,-37.814,144.96332
5219022,1,42.62777,-96.29169
5228063,15,33.81382,-85.7613
5201593,4,39.52088,-86.16777
5272152,3,31.34282,-85.71538
5191454,42,45.4564,-123.84553
5198161,19,39.76861,-94.84663
5517187,3,53.3038,-60.32576
5211782,14,44.15388,-87.56925
5206808,42,41.41698,-87.36531
5584240,1,33.839,-83.90074
5492315,3,39.85977,-86.6425
5404018,3,38.68813,-83.60936
5197085,1,36.40349,-76.75301
5600565,1,7.87687,-11.19025
5237498,3,38.14497,-83.74267
5226151,1,33.35283,-111.78903
5188100,1,37.77493,-122.41942
5301273,9,22.1674,-105.00494
5387187,3,-27.96954,153.19937
5235057,1,50.5598,5.96841
5238958,2,32.56717,-116.62509
5406627,2,36.93145,-93.49908
5427150,2,35.17511,-82.18928
5206902,22,35.16778,-114.57302
5232014,1,16.85444,-93.75722
5194702,76,47.91288,-122.09818
5225030,1,47.6667,8.23333
5536276,1,-32.83333,138.7
5192654,1,47.49162,-111.92805
5229927,8,32.83874,-86.62943
5206042,6,48.91789,-122.74462
5242819,5,43.07558,-85.6092
5193660,4,41.32759,-73.81958
